Pair_ID,Year,Venue,Deprecated_Keyword,Sections_Hit,Window_Count,Label,Reasoning
D0001,2022,neurips,codedavinci002,3.1 Experimental Setup,1,Methods,'2021 codedavinci002 in the openai api we sample from the...' generation via codedavinci002 (3.1 Experimental Setup)
D0002,2022,neurips,textada001,4.1 Results,1,Methods,'ples generated by zeroshotcot for each dataset in appendix b...' generation via textada001 (4.1 Results)
D0003,2022,neurips,textada001,3.1 Experimental Setup,1,Methods,'hich we use textada001 textbabbage001 textcurie001 a' pipeline use of textada001 (3.1 Experimental Setup)
D0004,2022,neurips,textbabbage001,4.1 Results,1,Evaluation,text-babbage-001 evaluated via accuracy comparison tables.
D0005,2022,neurips,textbabbage001,3.1 Experimental Setup,1,Methods,'hich we use textada001 textbabbage001 textcurie001 and textdavinci0' pipeline use of textbabbage001 (3.1 Experimental Setup)
D0006,2022,neurips,textcurie001,4.1 Results,1,Methods,'01 l textcurie001 xl textdavinci002 see appendix a3 and e...' generation via textcurie001 (4.1 Results)
D0007,2022,neurips,textcurie001,3.1 Experimental Setup,1,Evaluation,Five LLMs listed under 'language models we evaluate' with results table.
D0008,2022,neurips,textdavinci001,Abstract | 1 Introduction | 2.3 Setup | Checklist,4,Methods,InstructGPT (text-davinci-001) prompted for in-context learning study.
D0009,2022,neurips,textdavinci002,5.1 Experimental Setup,1,Methods,We use the text-davinci-002 engine for GPT-3 implementation.
D0010,2022,neurips,textdavinci002,Abstract | (b) Few-shot-CoT | 4 Experiment | 4.1 Results,9,Methods and Evaluation,"'rom 10.4% to 40.7% with large-scale InstructGPT model (text-davinci002), as...' mixes pipeline use and comparison of text-davinci002 (Abstract)"
D0011,2022,neurips,textdavinci002,3.1 Experimental Setup,1,Methods,'hich we use textada001 textbabbage001 textcurie001 and textdavinci002 which presumably...' pipeline use of textdavinci002 (3.1 Experimental Setup)
D0012,2022,neurips,textdavinci002,Abstract | 1 Introduction | 2.2 Baselines | 2.3 Setup | 2.4 Results,9,Methods,'ever textdavinci002 is able to benefit more substantially we further...' generation via textdavinci002 (Abstract)
D0013,2023,aaai,textdavinci002,Results,3,Evaluation,textdavinci002 compared as benchmark method against codex etc. - eval
D0014,2023,aaai,textsimilaritybabbage001,Related Work | Methods,2,Methods,'e questions into a 2048dimensional space using openais textsimilaritybabbage001 embedding which captures...' method-section reference to textsimilaritybabbage001 (Related Work)
D0015,2023,iclr,codecushman001,4.1 INFILLING LINES OF CODE (HUMANEVAL) | C.1 INFILLING COMPARISONS,3,Evaluation,'131 codecushman001 531 420 codecushman001 308 174 codedavinci001 63 560...' tabular result for codecushman001 (4.1 INFILLING LINES OF CODE)
D0016,2023,iclr,codecushman001,2.2 MODELS | 4.1 BENCHMARK CONSTRUCTION | G ADDITIONAL BENCHMARK RESULTS,4,Evaluation,'3627 codex 25b 2136 3542 5950 codex 12b 2881 4681 7231 codecushman001...' evaluation-section comparison of codecushman001 (2.2 MODELS)
D0017,2023,iclr,codecushman001,1 INTRODUCTION | 3 EXPERIMENTAL SETUP | 4.3 ANALYSIS ON TEST CASES | Q2. Can better test cases further boost the performance of mediocre models?,9,Methods and Evaluation,"'n is generated, but not in the top...' uses codecushman-001 with comparison nearby (1 INTRODUCTION)"
D0018,2023,iclr,codedavinci001,3.1 EXPERIMENT SETUP | 3.2 MAIN RESULTS | 3.4 COMPARE TO OTHER EXISTING APPROACHES | REPRODUCIBILITY STATEMENT | A.1.3 COMPARED TO MODEL ENSEMBLES,8,Methods and Evaluation,'ers. We use two public engines code-davinci001 and...' uses code-davinci001 with comparison nearby (3.1 EXPERIMENT SETUP)
D0019,2023,iclr,codedavinci001,3.2 COMPOSITIONAL GENERALIZATION | 7.3 DATA GENERATION AND ADDITIONAL RESULTS | 8.2 ERROR ANALYSIS: LEAST-TO-MOST PROMPTING,9,Methods and Evaluation,'the prompting method method standard prompting chainofthought leasttomost...' uses codedavinci001 with comparison nearby (3.2 COMPOSITIONAL GENERALIZATION)
D0020,2023,iclr,codedavinci001,3.2 GENERATOR INSTANTIATION | H EXPERIMENTS WITH code-davinci-002,2,Methods,'ples we used the codedavinci001 version because we suspect po' pipeline use of codedavinci001 (3.2 GENERATOR INSTANTIATION)
D0021,2023,iclr,codedavinci001,4.1 INFILLING LINES OF CODE (HUMANEVAL) | C.1 INFILLING COMPARISONS | C.3 CLOZE AND SINGLE TOKEN INFILL DETAILS,4,Evaluation,'174 codedavinci001 63 560 codedavinci001 378 198 a singleline infilling...' tabular result for codedavinci001 (4.1 INFILLING LINES OF CODE)
D0022,2023,iclr,codedavinci001,2.2 MODELS | 4.1 BENCHMARK CONSTRUCTION | G ADDITIONAL BENCHMARK RESULTS,3,Evaluation,'codex 12b 2881 4681 7231 codecushman001 * 335 543 774 codedavinci001 *...' evaluation-section comparison of codedavinci001 (2.2 MODELS)
D0023,2023,iclr,codedavinci001,3 EXPERIMENTAL SETUP | 4.3 ANALYSIS ON TEST CASES | Q2. Can better test cases further boost the performance of mediocre models? | H.1 STATISTICS ON TEST CASES,9,Methods,"'001, code-davinci001, and code-davinci-002. INCODER is a unified generative model...' generation via code-davinci001 (3 EXPERIMENTAL SETUP)"
D0024,2023,iclr,codedavinci002,REPRODUCIBILITY STATEMENT | G LANGUAGE MODEL HYPERPARAMETERS,2,Methods,code-davinci-002 used as LLM in experiments via API.
D0025,2023,iclr,codedavinci002,3.1 EXPERIMENT SETUP | 3.2 MAIN RESULTS | REPRODUCIBILITY STATEMENT,4,Methods,'ters we use two public engines codedavinci001 and codedavinci002 from...' pipeline use of codedavinci002 (3.1 EXPERIMENT SETUP)
D0026,2023,iclr,codedavinci002,5.1 SETUP,1,Methods,'To assess the dependency on LLMs we also evaluate the codedavinci-002 of...' method-section reference to codedavinci-002 (5.1 SETUP)
