Sample_ID,Year,Venue,Stratum,Stratum_Population_Size,Stratum_Sample_Size,Inclusion_Probability,Weight,Sampled_Keyword,All_Keywords_Matched,Total_Matches_In_Paper,File_Path,Label,Notes,Reviewer
S0001,2022,neurips,2022-neurips,9,9,1.0,1.0,textdavinci002,textdavinci002,1,neurips_2022/NeurIPS_2022_11332b6b6cf4485b84afadb1352d3a9a,,,
S0002,2022,neurips,2022-neurips,9,9,1.0,1.0,davinci002,davinci002,6,neurips_2022/NeurIPS_2022_18abbeef8cfe9203fdf9053c9c4fe191,,,
S0003,2022,neurips,2022-neurips,9,9,1.0,1.0,dalle2,dalle2,1,neurips_2022/NeurIPS_2022_6358cd0cd6607fdf4870595795eb1710,,,
S0004,2022,neurips,2022-neurips,9,9,1.0,1.0,dalle2,dalle2,8,neurips_2022/NeurIPS_2022_6baec7c4ba0a8734ccbd528a8090cb1f,,,
S0005,2022,neurips,2022-neurips,9,9,1.0,1.0,dalle2,dalle2,1,neurips_2022/NeurIPS_2022_7b75da9b61eda40fa35453ee5d077df6,,,
S0006,2022,neurips,2022-neurips,9,9,1.0,1.0,textbabbage001,"textada001, textbabbage001, textcurie001, textdavinci002",15,neurips_2022/NeurIPS_2022_8bb0d291acd4acf06ef112099c16f326,,,
S0007,2022,neurips,2022-neurips,9,9,1.0,1.0,dalle2,dalle2,1,neurips_2022/NeurIPS_2022_94840c41497ead6a84f493f029eba7fa,,,
S0008,2022,neurips,2022-neurips,9,9,1.0,1.0,textcurie001,"textada001, textbabbage001, textcurie001, textdavinci002, codedavinci002",5,neurips_2022/NeurIPS_2022_9d5609613524ecf4f15af0f7b31abca4,,,
S0009,2022,neurips,2022-neurips,9,9,1.0,1.0,textdavinci001,"textdavinci001, textdavinci002",15,neurips_2022/NeurIPS_2022_c402501846f9fe03e2cac015b3f0e6b1,,,
S0010,2023,aaai,2023-aaai,2,2,1.0,1.0,dalle2,dalle2,1,aaai_2023/AAAI_2023_26094,,,
S0011,2023,aaai,2023-aaai,2,2,1.0,1.0,textdavinci002,"textdavinci002, textsimilaritybabbage001",5,aaai_2023/AAAI_2023_27091,,,
S0012,2023,iclr,2023-iclr,43,10,0.23255813953488372,4.3,codedavinci002,codedavinci002,2,iclr_2023/ICLR_2023_-cqvvvb-NkI_Recitation-Augmented-Language-Models,,,
S0013,2023,iclr,2023-iclr,43,10,0.23255813953488372,4.3,textdavinci002,textdavinci002,1,iclr_2023/ICLR_2023_1C,,,
S0014,2023,iclr,2023-iclr,43,10,0.23255813953488372,4.3,textdavinci002,textdavinci002,1,iclr_2023/ICLR_2023_4rXMRuoJlai,,,
S0015,2023,iclr,2023-iclr,43,10,0.23255813953488372,4.3,textbabbage001,"textada001, textbabbage001, textcurie001, textdavinci002",7,iclr_2023/ICLR_2023_92gvk82DE,,,
S0016,2023,iclr,2023-iclr,43,10,0.23255813953488372,4.3,codedavinci002,codedavinci002,3,iclr_2023/ICLR_2023_Lr8cOOtYbfL,,,
